,event_id,investigation_type,event_date,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,event_year,injuries_reported
37942,20001207X04229,Accident,1995-08-03,United States,Non-Fatal,Substantial,,piper,PA-23-250,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Descent,1995,True
37943,20001207X04123,Accident,1995-08-03,United States,Non-Fatal,Substantial,,cessna,206,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,1995,True
37945,20001207X04196,Accident,1995-08-04,United States,Non-Fatal,,,boeing,757,No,2.0,Turbo Jet,Unknown,0.0,1.0,0.0,126.0,VMC,Cruise,1995,True
37946,20001207X04179,Accident,1995-08-04,United States,Fatal(2),Destroyed,,piper,PA-28-181,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Descent,1995,True
37947,20001207X04114,Accident,1995-08-04,United States,Fatal(2),Destroyed,,cessna,170,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,1995,True
37950,20001207X04162,Accident,1995-08-04,United States,Non-Fatal,Substantial,,cessna,172D,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,1995,True
37951,20001207X04125,Accident,1995-08-04,United States,Non-Fatal,Substantial,,piper,PA-12,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,1995,True
37952,20001207X04124,Accident,1995-08-04,United States,Non-Fatal,Substantial,,piper,PA-18,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Takeoff,1995,True
37953,20001207X04317,Incident,1995-08-05,United States,Incident,,,boeing,737-3B7,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,83.0,VMC,Descent,1995,True
37954,20001207X04323,Accident,1995-08-05,United States,Non-Fatal,Substantial,,boeing,727-264,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,165.0,VMC,Taxi,1995,True
37955,20001207X04370,Accident,1995-08-05,United States,Fatal(2),Substantial,,cessna,172M,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Maneuvering,1995,True
37956,20001207X04321,Accident,1995-08-05,United States,Non-Fatal,Substantial,,cessna,150L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Maneuvering,1995,True
37960,20001207X04231,Accident,1995-08-05,United States,Non-Fatal,Substantial,,piper,PA-28-180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,1995,True
37963,20001207X04126,Accident,1995-08-05,United States,Non-Fatal,Substantial,,piper,PA-18-160,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,1995,True
37965,20001207X04232,Accident,1995-08-06,United States,Non-Fatal,Destroyed,,piper,PA-28-180,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Takeoff,1995,True
37967,20001207X04373,Accident,1995-08-06,United States,Non-Fatal,Substantial,,piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Cruise,1995,True
37971,20001207X04235,Accident,1995-08-06,United States,Non-Fatal,Substantial,,piper,PA-28-180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1995,True
37975,20001207X04374,Accident,1995-08-07,United States,Non-Fatal,Substantial,,cessna,TU206F,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,Approach,1995,True
37977,20001207X04324,Accident,1995-08-07,United States,Non-Fatal,Substantial,,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,1995,True
37978,20001207X04322,Accident,1995-08-07,United States,Non-Fatal,Substantial,,cessna,195B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,1995,True
37981,20001207X04314,Accident,1995-08-08,United States,Fatal(1),Destroyed,,cessna,210C,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Maneuvering,1995,True
37982,20001207X04188,Accident,1995-08-08,United States,Non-Fatal,Destroyed,,cessna,177,No,1.0,Reciprocating,Personal,0.0,4.0,0.0,0.0,VMC,Descent,1995,True
37983,20001207X04376,Accident,1995-08-08,United States,Non-Fatal,Substantial,,piper,PA-28-151,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Taxi,1995,True
37984,20001207X04349,Accident,1995-08-08,United States,Non-Fatal,Substantial,,cessna,150E,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1995,True
37987,20001207X04189,Accident,1995-08-08,United States,Non-Fatal,Substantial,,cessna,150L,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Cruise,1995,True
37990,20001207X04128,Accident,1995-08-08,United States,Non-Fatal,Substantial,,piper,PA-18,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Takeoff,1995,True
37992,20001207X04224,Accident,1995-08-09,El Salvador,Fatal(65),Destroyed,,boeing,737-200,No,,Unknown,Unknown,65.0,0.0,0.0,0.0,IMC,,1995,True
37995,20001207X04348,Accident,1995-08-09,United States,Non-Fatal,Substantial,,piper,PA-28-181,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1995,True
37996,20001207X04325,Accident,1995-08-09,United States,Non-Fatal,Substantial,,cessna,170B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1995,True
38000,20001207X04192,Accident,1995-08-10,United States,Non-Fatal,Destroyed,,piper,PA-28,No,1.0,Reciprocating,Business,0.0,3.0,0.0,0.0,VMC,Takeoff,1995,True
38003,20001207X04378,Accident,1995-08-10,United States,Non-Fatal,Substantial,,cessna,210E,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,1995,True
38004,20001207X04337,Accident,1995-08-10,United States,Non-Fatal,Substantial,,cessna,404,No,2.0,Reciprocating,Public Aircraft,0.0,0.0,0.0,3.0,VMC,Landing,1995,True
38008,20001207X04284,Accident,1995-08-10,United States,Non-Fatal,Substantial,,piper,PA-23-250,No,2.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Approach,1995,True
38013,20001207X04130,Accident,1995-08-10,United States,Non-Fatal,Substantial,,piper,PA-18,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1995,True
38014,20001207X04129,Accident,1995-08-10,United States,Non-Fatal,Substantial,,cessna,172,No,1.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,Takeoff,1995,True
38015,20001207X04313,Accident,1995-08-11,United States,Fatal(2),Destroyed,,piper,PA-28-140,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Takeoff,1995,True
38017,20001207X04225,Accident,1995-08-11,United States,Fatal(2),Destroyed,,cessna,150M,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,1995,True
38027,20001207X04202,Accident,1995-08-12,United States,Non-Fatal,Destroyed,,piper,J3C-65,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Approach,1995,True
38028,20001207X04382,Accident,1995-08-12,United States,Non-Fatal,Substantial,,cessna,177B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Cruise,1995,True
38030,20001207X04350,Accident,1995-08-12,United States,Non-Fatal,Substantial,,piper,PA-28-180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1995,True
38032,20001207X04290,Accident,1995-08-12,United States,Non-Fatal,Substantial,,piper,PA-32R-301T,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,3.0,VMC,Takeoff,1995,True
38034,20001207X04288,Accident,1995-08-12,United States,Non-Fatal,Substantial,,piper,PA-30-B,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Takeoff,1995,True
38037,20001207X04198,Accident,1995-08-12,United States,Non-Fatal,Substantial,,piper,PA-28R-201,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Go-around,1995,True
38040,20001207X04155,Accident,1995-08-12,United States,Non-Fatal,Substantial,,cessna,172H,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1995,True
38043,20001207X04152,Accident,1995-08-12,United States,Non-Fatal,Substantial,,piper,PA-46,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Landing,1995,True
38049,20001207X04327,Accident,1995-08-13,United States,Non-Fatal,Substantial,,cessna,150M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1995,True
38050,20001207X04193,Accident,1995-08-13,United States,Non-Fatal,Substantial,,cessna,172,No,1.0,Reciprocating,Personal,0.0,1.0,3.0,0.0,VMC,Landing,1995,True
38052,20001207X04166,Accident,1995-08-13,United States,Non-Fatal,Substantial,,cessna,182F,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,1995,True
38053,20001207X04344,Incident,1995-08-14,United States,Incident,Minor,,boeing,747-130,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,436.0,VMC,Climb,1995,True
38059,20001207X04242,Accident,1995-08-14,United States,Non-Fatal,Substantial,,boeing,B75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1995,True
38061,20001207X04208,Accident,1995-08-14,United States,Non-Fatal,Substantial,,piper,PA-31,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,7.0,VMC,Takeoff,1995,True
38063,20001207X04201,Accident,1995-08-14,United States,Non-Fatal,Substantial,,cessna,A185E,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,1995,True
38069,20001207X04384,Accident,1995-08-15,United States,Non-Fatal,Substantial,,piper,PA-18-150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,1995,True
38071,20001207X04293,Accident,1995-08-15,United States,Non-Fatal,Substantial,,cessna,172F,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,1995,True
38072,20001207X04270,Accident,1995-08-15,United States,Non-Fatal,Substantial,,piper,PA-18-150,No,1.0,Reciprocating,Public Aircraft,0.0,0.0,1.0,0.0,VMC,Landing,1995,True
38074,20001207X04205,Accident,1995-08-15,United States,Non-Fatal,Substantial,,piper,PA-38-112,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,1995,True
38075,20001207X04134,Accident,1995-08-15,United States,Non-Fatal,Substantial,,cessna,185A,No,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC,Landing,1995,True
38078,20001207X04342,Accident,1995-08-16,United States,Fatal(2),Destroyed,,cessna,310R,No,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,1995,True
38080,20001207X04294,Accident,1995-08-16,United States,Non-Fatal,Substantial,,cessna,172P,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,1995,True
38084,20001207X04206,Accident,1995-08-16,United States,Non-Fatal,Substantial,,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,1995,True
38092,20001207X04143,Accident,1995-08-17,United States,Non-Fatal,Substantial,,cessna,180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1995,True
38093,20001207X04139,Accident,1995-08-17,United States,Non-Fatal,Substantial,,piper,PA-18A,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,1995,True
38094,20001207X04138,Accident,1995-08-17,United States,Non-Fatal,Substantial,,cessna,206,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Taxi,1995,True
38096,20001207X04228,Incident,1995-08-18,United States,Incident,Minor,,boeing,737-3H4,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,114.0,VMC,Takeoff,1995,True
38098,20001207X04180,Accident,1995-08-18,United States,Fatal(2),Destroyed,,piper,PA-31-350,No,2.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC,Cruise,1995,True
38099,20001207X04117,Accident,1995-08-18,United States,Fatal(1),Destroyed,,piper,L-21A,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Climb,1995,True
38100,20001207X04392,Accident,1995-08-18,United States,Non-Fatal,Substantial,,cessna,421,No,2.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC,Landing,1995,True
38102,20001207X04296,Accident,1995-08-18,United States,Non-Fatal,Substantial,,piper,PA-28-235,No,1.0,Reciprocating,Business,0.0,3.0,0.0,0.0,VMC,Cruise,1995,True
38107,20001207X04387,Accident,1995-08-19,United States,Non-Fatal,Substantial,,cessna,177B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,1995,True
38111,20001207X04254,Accident,1995-08-19,United States,Non-Fatal,Substantial,,piper,PA-32R-300,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Approach,1995,True
38117,20001207X04385,Accident,1995-08-20,United States,Fatal(1),Destroyed,,cessna,177RG,No,1.0,Reciprocating,Personal,1.0,0.0,1.0,0.0,UNK,Maneuvering,1995,True
38120,20001207X04315,Accident,1995-08-20,United States,Fatal(2),Destroyed,,piper,601P,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Approach,1995,True
38121,20001207X04251,Accident,1995-08-20,United States,Non-Fatal,Minor,,piper,PA-31T,No,2.0,Turbo Prop,Business,0.0,0.0,0.0,8.0,VMC,Landing,1995,True
38124,20001207X04118,Accident,1995-08-20,United States,Fatal(1),Destroyed,,piper,PA-18A,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,1995,True
38128,20001207X04251,Accident,1995-08-20,United States,Non-Fatal,Substantial,,cessna,172E,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,8.0,VMC,Landing,1995,True
38129,20001207X04213,Accident,1995-08-20,United States,Non-Fatal,Substantial,,cessna,172P,No,1.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,VMC,Cruise,1995,True
38131,20001207X04140,Accident,1995-08-20,United States,Non-Fatal,Substantial,,cessna,180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,1995,True
38132,20001207X04223,Accident,1995-08-21,United States,Fatal(8),Destroyed,,embraer,EMB-120RT,No,2.0,Turbo Prop,Unknown,8.0,13.0,8.0,0.0,VMC,Climb,1995,True
38133,20001207X04214,Accident,1995-08-21,United States,Fatal(1),Destroyed,,cessna,140,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,1995,True
38134,20001207X04360,Accident,1995-08-21,United States,Non-Fatal,Substantial,,cessna,310B,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1995,True
38136,20001207X04215,Accident,1995-08-21,United States,Non-Fatal,Substantial,,cessna,TC206G,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Landing,1995,True
38146,20001207X04141,Accident,1995-08-22,United States,Non-Fatal,Substantial,,cessna,182,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,1995,True
38149,20001207X04272,Accident,1995-08-23,United States,Non-Fatal,Destroyed,,cessna,T207,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Go-around,1995,True
38151,20001207X04146,Accident,1995-08-23,United States,Fatal(2),Destroyed,,piper,PA-34-200,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Approach,1995,True
38154,20001207X04268,Accident,1995-08-23,United States,Non-Fatal,Substantial,,cessna,320,No,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Descent,1995,True
38156,20001207X04216,Accident,1995-08-23,United States,Non-Fatal,Substantial,,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1995,True
38157,20001207X04142,Accident,1995-08-23,United States,Non-Fatal,Substantial,,cessna,172,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC,Maneuvering,1995,True
38159,20001207X04258,Accident,1995-08-24,United States,Non-Fatal,Substantial,,boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,1995,True
38160,20001207X04318,Incident,1995-08-25,United States,Incident,,,boeing,737-3B7,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,50.0,VMC,Descent,1995,True
38161,20001207X04361,Accident,1995-08-25,United States,Non-Fatal,Substantial,,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,1995,True
38162,20001207X04172,Accident,1995-08-25,United States,Non-Fatal,Substantial,,piper,PA-22-150,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Takeoff,1995,True
38163,20001207X04335,Accident,1995-08-26,ATLANTIC OCEAN,Non-Fatal,Destroyed,,cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,1995,True
38164,20001207X04364,Accident,1995-08-26,United States,Fatal(1),Destroyed,,cessna,172M,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Descent,1995,True
38165,20001207X04362,Accident,1995-08-26,United States,Non-Fatal,Destroyed,,cessna,172M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Taxi,1995,True
38166,20001207X04343,Accident,1995-08-26,United States,Fatal(5),Destroyed,,cessna,A185F,No,1.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,VMC,Landing,1995,True
38168,20001207X04227,Accident,1995-08-26,United States,Non-Fatal,Destroyed,,piper,PA-32R-300,No,1.0,Reciprocating,Personal,0.0,3.0,0.0,0.0,VMC,Takeoff,1995,True
38169,20001207X04119,Incident,1995-08-26,United States,Incident,Minor,,piper,PA-28-181,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,Climb,1995,True
38170,20001207X04116,Accident,1995-08-26,United States,Fatal(2),Substantial,,piper,PA-18-150,No,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Maneuvering,1995,True
38171,20001207X04301,Accident,1995-08-26,United States,Non-Fatal,Substantial,,cessna,182Q,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,1995,True
38174,20001207X04264,Accident,1995-08-26,United States,Non-Fatal,Substantial,,cessna,206,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Landing,1995,True
38175,20001207X04220,Accident,1995-08-26,United States,Non-Fatal,Substantial,,cessna,172M,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Takeoff,1995,True
38176,20001207X04219,Accident,1995-08-26,United States,Non-Fatal,Substantial,,cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,VMC,Cruise,1995,True
38177,20001207X04174,Accident,1995-08-26,United States,Non-Fatal,Substantial,,cessna,R172K,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,1995,True
38178,20001207X04173,Accident,1995-08-26,United States,Non-Fatal,Substantial,,cessna,172G,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Landing,1995,True
38183,20001207X04363,Accident,1995-08-27,United States,Non-Fatal,Substantial,,cessna,140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Go-around,1995,True
38186,20001207X04266,Accident,1995-08-27,United States,Non-Fatal,Substantial,,piper,PA-28-181,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1995,True
38187,20001207X04263,Accident,1995-08-27,United States,Non-Fatal,Substantial,,piper,PA-28-181,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,1995,True
38189,20001207X04222,Accident,1995-08-27,United States,Non-Fatal,Substantial,,piper,PA-32-300,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1995,True
38191,20001207X04368,Accident,1995-08-28,Poland,Fatal(6),,,piper,PA-34-200T,No,2.0,Reciprocating,Unknown,6.0,0.0,0.0,0.0,UNK,,1995,True
38193,20001207X04336,Accident,1995-08-28,United States,Non-Fatal,Substantial,,cessna,337D,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,1995,True
38199,20001207X04177,Accident,1995-08-29,United States,Non-Fatal,Destroyed,,cessna,310K,No,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,1995,True
38200,20001207X04394,Accident,1995-08-29,United States,Non-Fatal,Substantial,,piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,1995,True
38202,20001207X04144,Accident,1995-08-29,United States,Non-Fatal,Substantial,,piper,PA-18,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Landing,1995,True
38204,20001207X04307,Accident,1995-08-30,United States,Fatal(1),Destroyed,,piper,PA-23-250,No,2.0,Reciprocating,Other Work Use,1.0,0.0,2.0,0.0,VMC,Climb,1995,True
38205,20001207X04396,Accident,1995-08-30,United States,Non-Fatal,Substantial,,cessna,210,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,1995,True
38206,20001207X04395,Accident,1995-08-30,United States,Non-Fatal,Substantial,,cessna,206,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,2.0,VMC,Takeoff,1995,True
38210,20001207X04269,Accident,1995-08-31,United States,Non-Fatal,Substantial,,piper,PA-60-601P,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Taxi,1995,True
38211,20001207X04565,Accident,1995-09-01,United States,Fatal(3),Destroyed,,cessna,172M,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Takeoff,1995,True
38213,20001207X04488,Accident,1995-09-01,United States,Non-Fatal,Destroyed,,cessna,172N,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Takeoff,1995,True
38219,20001207X04489,Accident,1995-09-01,United States,Non-Fatal,Substantial,,cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,Go-around,1995,True
38221,20001207X04511,Accident,1995-09-02,United States,Fatal(2),Destroyed,,cessna,421C,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Approach,1995,True
38222,20001207X04510,Accident,1995-09-02,United States,Fatal(8),Destroyed,,cessna,421C,No,2.0,Reciprocating,Executive/corporate,8.0,0.0,0.0,0.0,VMC,Climb,1995,True
38226,20001207X04430,Accident,1995-09-02,United States,Non-Fatal,Destroyed,,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Cruise,1995,True
38228,20001207X04491,Accident,1995-09-02,United States,Non-Fatal,Substantial,,piper,PA-18-150,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,1995,True
38232,20001207X04522,Accident,1995-09-02,United States,Non-Fatal,Substantial,,cessna,180B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,1995,True
38237,20001207X04566,Accident,1995-09-03,United States,Fatal(1),Destroyed,,piper,PA-18A-150,No,1.0,Reciprocating,Other Work Use,1.0,0.0,0.0,0.0,VMC,Maneuvering,1995,True
38241,20001207X04437,Accident,1995-09-03,United States,Fatal(1),Destroyed,,cessna,172M,No,1.0,Reciprocating,Personal,1.0,0.0,1.0,0.0,VMC,Landing,1995,True
38242,20001207X04599,Accident,1995-09-03,United States,Non-Fatal,Substantial,,cessna,185F,No,1.0,Reciprocating,Other Work Use,0.0,0.0,1.0,0.0,VMC,Maneuvering,1995,True
38243,20001207X04598,Accident,1995-09-03,United States,Non-Fatal,Substantial,,piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,VMC,Climb,1995,True
38244,20001207X04597,Accident,1995-09-03,United States,Non-Fatal,Substantial,,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Takeoff,1995,True
38245,20001207X04587,Accident,1995-09-03,United States,Fatal(2),Substantial,,piper,PA-24-250,No,1.0,Reciprocating,Personal,2.0,2.0,0.0,0.0,VMC,Takeoff,1995,True
38246,20001207X04573,Accident,1995-09-03,United States,Non-Fatal,Substantial,,piper,J-3,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Approach,1995,True
38247,20001207X04570,Accident,1995-09-03,United States,Non-Fatal,Substantial,,cessna,172RG,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,2.0,VMC,Landing,1995,True
38248,20001207X04451,Accident,1995-09-03,United States,Non-Fatal,Substantial,,cessna,175,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Cruise,1995,True
38249,20001207X04450,Accident,1995-09-03,United States,Non-Fatal,Substantial,,cessna,182,No,1.0,Reciprocating,Other Work Use,0.0,0.0,2.0,3.0,VMC,Takeoff,1995,True
38251,20001207X04400,Accident,1995-09-03,United States,Non-Fatal,Substantial,,cessna,180,No,1.0,Reciprocating,Business,0.0,0.0,0.0,4.0,VMC,Takeoff,1995,True
38252,20001207X04592,Accident,1995-09-04,United States,Fatal(3),Destroyed,,piper,PA-28-140,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,UNK,Unknown,1995,True
38255,20001207X04448,Accident,1995-09-04,United States,Non-Fatal,Destroyed,,piper,PA-11,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Maneuvering,1995,True
38262,20001207X04545,Accident,1995-09-06,United States,Non-Fatal,Substantial,,boeing,737-4Q8,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,78.0,VMC,Taxi,1995,True
38266,20001207X04588,Accident,1995-09-07,United States,Fatal(1),Destroyed,,cessna,180J,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Maneuvering,1995,True
38269,20001207X04503,Accident,1995-09-07,United States,Non-Fatal,Substantial,,cessna,172D,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,1995,True
38270,20001207X04495,Accident,1995-09-07,United States,Non-Fatal,Substantial,,cessna,421B,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,Landing,1995,True
38271,20001207X04453,Accident,1995-09-07,United States,Non-Fatal,Substantial,,cessna,210L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,1995,True
38272,20001207X04403,Accident,1995-09-07,United States,Non-Fatal,Substantial,,cessna,172N,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,Cruise,1995,True
38275,20001207X04523,Accident,1995-09-08,United States,Non-Fatal,Destroyed,,cessna,182N,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,3.0,VMC,Go-around,1995,True
38279,20001207X04499,Accident,1995-09-08,United States,Non-Fatal,Substantial,,cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,VMC,Takeoff,1995,True
38280,20001207X04496,Accident,1995-09-08,United States,Non-Fatal,Substantial,,piper,PA-23,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,1995,True
38281,20001207X04458,Accident,1995-09-08,United States,Non-Fatal,Substantial,,cessna,182,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,Descent,1995,True
38282,20001207X04405,Accident,1995-09-08,United States,Non-Fatal,Substantial,,cessna,140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Maneuvering,1995,True
